Epoch Time,gocbRef,No.,Time,Protocol,Length,APPID,goID,allData,bit-string,stNum,sqNum,confRev,datSet,Source,Destination,Frame,Interface id,Interface name,Interface description,Encapsulation type,t,Arrival Time,Time shift for this packet,Time delta from previous captured frame,Time delta from previous displayed frame,Time since reference or first frame,Frame Number,Frame length on the wire,Frame length stored into the capture file,Simulated,timeAllowedtoLive,simulation,ndsCom,numDatSetEntries,Data,Type,IG bit,Address,LG bit,IG bit.1,LG bit.1,Length.1,Reserved 1,Reserved 2,boolean,Info,attack
1702927021.335443,SEL_421_distCFG/LLN0$GO$CB_disj1,15160,1702927021.335443,GOOSE,149,0x1014 (4116),Prot_disj1,3,,3,234,1,SEL_421_distCFG/LLN0$dataset_disj,00:30:a7:29:1f:5a,01:0c:cd:01:00:14,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 18, 2023 22:12:18.016799986 UTC","Dec 19, 2023 00:47:01.335443000 IST",0.0,8.3e-05,0.179403,3.154511,15160,149,149,False,2000,False,False,3,"boolean,boolean,boolean",IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:14,00:30:a7:29:1f:5a",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),135,0x0000 (0),0x0000 (0),"False,False,False",,0
1702927021.577115,ied_disjuntor2ied_disjuntor2/LLN0$GO$disjuntor2_CB,16322,1702927021.577115,GOOSE,175,0x1011 (4113),rtds,1,80.0,2,19,1,ied_disjuntor2ied_disjuntor2/LLN0$disjuntor2_dataset,00:50:c2:4f:9d:cd,01:0c:cd:01:00:11,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 25, 2004 19:16:25.231656849 UTC","Dec 19, 2023 00:47:01.577115000 IST",0.0,0.000156,0.241672,3.396183,16322,175,175,False,4000,False,False,1,bit-string,IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:11,00:50:c2:4f:9d:cd",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),161,0x0000 (0),0x0000 (0),,,0
1702927021.577423,ied_disjuntoried_disjuntor1/LLN0$GO$DISJ_cb,16324,1702927021.577423,GOOSE,167,0x1010 (4112),rtds,1,80.0,102,19,1,ied_disjuntoried_disjuntor1/LLN0$disjuntor1_dataset,00:50:c2:4f:9d:cd,01:0c:cd:01:00:10,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 26, 2004 04:00:33.147351145 UTC","Dec 19, 2023 00:47:01.577423000 IST",0.0,0.000194,0.000308,3.396491,16324,167,167,False,4000,False,False,1,bit-string,IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:10,00:50:c2:4f:9d:cd",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),153,0x0000 (0),0x0000 (0),,,0
1702927021.579063,ied_protecaoPROT/LLN0$GO$prot_cb,16333,1702927021.579063,GOOSE,137,0x1012 (4114),rtds,1,,101,21,1,ied_protecaoPROT/LLN0$prot_dataset,00:50:c2:4f:9d:cd,01:0c:cd:01:00:12,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 26, 2004 04:00:29.137963354 UTC","Dec 19, 2023 00:47:01.579063000 IST",0.0,0.000215,0.00164,3.398131,16333,137,137,False,4000,False,False,1,boolean,IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:12,00:50:c2:4f:9d:cd",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),123,0x0000 (0),0x0000 (0),False,,0
1702927021.579063,ied_protecaoPROT/LLN0$GO$trip2_dataset,16334,1702927021.579063,GOOSE,144,0x1013 (4115),rtds,1,,1,21,1,ied_protecaoPROT/LLN0$trip2_dataset,00:50:c2:4f:9d:cd,01:0c:cd:01:00:13,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 26, 2004 04:00:29.137963354 UTC","Dec 19, 2023 00:47:01.579063000 IST",0.0,0.0,0.0,3.398131,16334,144,144,False,4000,False,False,1,boolean,IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:13,00:50:c2:4f:9d:cd",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),130,0x0000 (0),0x0000 (0),False,,0
1702927022.156053,SEL_421_distCFG/LLN0$GO$CB_prot,19107,1702927022.156053,GOOSE,141,0x1015 (4117),Prot_POTT,1,,3,235,1,SEL_421_distCFG/LLN0$dataset_pott,00:30:a7:29:1f:5a,01:0c:cd:01:00:15,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 18, 2023 22:12:17.837599992 UTC","Dec 19, 2023 00:47:02.156053000 IST",0.0,8.1e-05,0.57699,3.975121,19107,141,141,False,2000,False,False,1,boolean,IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:15,00:30:a7:29:1f:5a",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),127,0x0000 (0),0x0000 (0),False,,0
1702927022.335868,SEL_421_distCFG/LLN0$GO$CB_disj1,19971,1702927022.335868,GOOSE,149,0x1014 (4116),Prot_disj1,3,,3,235,1,SEL_421_distCFG/LLN0$dataset_disj,00:30:a7:29:1f:5a,01:0c:cd:01:00:14,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 18, 2023 22:12:18.016799986 UTC","Dec 19, 2023 00:47:02.335868000 IST",0.0,0.00017,0.179815,4.154936,19971,149,149,False,2000,False,False,3,"boolean,boolean,boolean",IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:14,00:30:a7:29:1f:5a",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),135,0x0000 (0),0x0000 (0),"False,False,False",,0
1702927023.156191,SEL_421_distCFG/LLN0$GO$CB_prot,23912,1702927023.156191,GOOSE,141,0x1015 (4117),Prot_POTT,1,,3,236,1,SEL_421_distCFG/LLN0$dataset_pott,00:30:a7:29:1f:5a,01:0c:cd:01:00:15,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 18, 2023 22:12:17.837599992 UTC","Dec 19, 2023 00:47:03.156191000 IST",0.0,0.0,0.820323,4.975259,23912,141,141,False,2000,False,False,1,boolean,IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:15,00:30:a7:29:1f:5a",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),127,0x0000 (0),0x0000 (0),False,,0
1702927023.335914,SEL_421_distCFG/LLN0$GO$CB_disj1,24776,1702927023.335914,GOOSE,149,0x1014 (4116),Prot_disj1,3,,3,236,1,SEL_421_distCFG/LLN0$dataset_disj,00:30:a7:29:1f:5a,01:0c:cd:01:00:14,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 18, 2023 22:12:18.016799986 UTC","Dec 19, 2023 00:47:03.335914000 IST",0.0,0.000199,0.179723,5.154982,24776,149,149,False,2000,False,False,3,"boolean,boolean,boolean",IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:14,00:30:a7:29:1f:5a",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),135,0x0000 (0),0x0000 (0),"False,False,False",,0
1702927023.57706,ied_disjuntor2ied_disjuntor2/LLN0$GO$disjuntor2_CB,25936,1702927023.57706,GOOSE,175,0x1011 (4113),rtds,1,80.0,2,20,1,ied_disjuntor2ied_disjuntor2/LLN0$disjuntor2_dataset,00:50:c2:4f:9d:cd,01:0c:cd:01:00:11,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 25, 2004 19:16:25.231656849 UTC","Dec 19, 2023 00:47:03.577060000 IST",0.0,8.8e-05,0.241146,5.396128,25936,175,175,False,4000,False,False,1,bit-string,IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:11,00:50:c2:4f:9d:cd",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),161,0x0000 (0),0x0000 (0),,,0
1702927023.57743,ied_disjuntoried_disjuntor1/LLN0$GO$DISJ_cb,25938,1702927023.57743,GOOSE,167,0x1010 (4112),rtds,1,80.0,102,20,1,ied_disjuntoried_disjuntor1/LLN0$disjuntor1_dataset,00:50:c2:4f:9d:cd,01:0c:cd:01:00:10,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 26, 2004 04:00:33.147351145 UTC","Dec 19, 2023 00:47:03.577430000 IST",0.0,0.00018,0.00037,5.396498,25938,167,167,False,4000,False,False,1,bit-string,IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:10,00:50:c2:4f:9d:cd",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),153,0x0000 (0),0x0000 (0),,,0
1702927023.579087,ied_protecaoPROT/LLN0$GO$prot_cb,25947,1702927023.579087,GOOSE,137,0x1012 (4114),rtds,1,,101,22,1,ied_protecaoPROT/LLN0$prot_dataset,00:50:c2:4f:9d:cd,01:0c:cd:01:00:12,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 26, 2004 04:00:29.137963354 UTC","Dec 19, 2023 00:47:03.579087000 IST",0.0,0.000207,0.001657,5.398155,25947,137,137,False,4000,False,False,1,boolean,IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:12,00:50:c2:4f:9d:cd",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),123,0x0000 (0),0x0000 (0),False,,0
1702927023.579087,ied_protecaoPROT/LLN0$GO$trip2_dataset,25948,1702927023.579087,GOOSE,144,0x1013 (4115),rtds,1,,1,22,1,ied_protecaoPROT/LLN0$trip2_dataset,00:50:c2:4f:9d:cd,01:0c:cd:01:00:13,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 26, 2004 04:00:29.137963354 UTC","Dec 19, 2023 00:47:03.579087000 IST",0.0,0.0,0.0,5.398155,25948,144,144,False,4000,False,False,1,boolean,IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:13,00:50:c2:4f:9d:cd",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),130,0x0000 (0),0x0000 (0),False,,0
1702927024.156317,SEL_421_distCFG/LLN0$GO$CB_prot,28722,1702927024.156317,GOOSE,141,0x1015 (4117),Prot_POTT,1,,3,237,1,SEL_421_distCFG/LLN0$dataset_pott,00:30:a7:29:1f:5a,01:0c:cd:01:00:15,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 18, 2023 22:12:17.837599992 UTC","Dec 19, 2023 00:47:04.156317000 IST",0.0,0.000108,0.57723,5.975385,28722,141,141,False,2000,False,False,1,boolean,IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:15,00:30:a7:29:1f:5a",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),127,0x0000 (0),0x0000 (0),False,,0
1702927024.335911,SEL_421_distCFG/LLN0$GO$CB_disj1,29585,1702927024.335911,GOOSE,149,0x1014 (4116),Prot_disj1,3,,3,237,1,SEL_421_distCFG/LLN0$dataset_disj,00:30:a7:29:1f:5a,01:0c:cd:01:00:14,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 18, 2023 22:12:18.016799986 UTC","Dec 19, 2023 00:47:04.335911000 IST",0.0,6.7e-05,0.179594,6.154979,29585,149,149,False,2000,False,False,3,"boolean,boolean,boolean",IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:14,00:30:a7:29:1f:5a",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),135,0x0000 (0),0x0000 (0),"False,False,False",,0
1702927025.156344,SEL_421_distCFG/LLN0$GO$CB_prot,33526,1702927025.156344,GOOSE,141,0x1015 (4117),Prot_POTT,1,,3,238,1,SEL_421_distCFG/LLN0$dataset_pott,00:30:a7:29:1f:5a,01:0c:cd:01:00:15,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 18, 2023 22:12:17.837599992 UTC","Dec 19, 2023 00:47:05.156344000 IST",0.0,0.000119,0.820433,6.975412,33526,141,141,False,2000,False,False,1,boolean,IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:15,00:30:a7:29:1f:5a",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),127,0x0000 (0),0x0000 (0),False,,0
1702927025.335981,SEL_421_distCFG/LLN0$GO$CB_disj1,34389,1702927025.335981,GOOSE,149,0x1014 (4116),Prot_disj1,3,,3,238,1,SEL_421_distCFG/LLN0$dataset_disj,00:30:a7:29:1f:5a,01:0c:cd:01:00:14,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 18, 2023 22:12:18.016799986 UTC","Dec 19, 2023 00:47:05.335981000 IST",0.0,0.000227,0.179637,7.155049,34389,149,149,False,2000,False,False,3,"boolean,boolean,boolean",IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:14,00:30:a7:29:1f:5a",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),135,0x0000 (0),0x0000 (0),"False,False,False",,0
1702927025.577089,ied_disjuntor2ied_disjuntor2/LLN0$GO$disjuntor2_CB,35549,1702927025.577089,GOOSE,175,0x1011 (4113),rtds,1,80.0,2,21,1,ied_disjuntor2ied_disjuntor2/LLN0$disjuntor2_dataset,00:50:c2:4f:9d:cd,01:0c:cd:01:00:11,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 25, 2004 19:16:25.231656849 UTC","Dec 19, 2023 00:47:05.577089000 IST",0.0,0.0,0.241108,7.396157,35549,175,175,False,4000,False,False,1,bit-string,IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:11,00:50:c2:4f:9d:cd",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),161,0x0000 (0),0x0000 (0),,,0
1702927025.577366,ied_disjuntoried_disjuntor1/LLN0$GO$DISJ_cb,35551,1702927025.577366,GOOSE,167,0x1010 (4112),rtds,1,80.0,102,21,1,ied_disjuntoried_disjuntor1/LLN0$disjuntor1_dataset,00:50:c2:4f:9d:cd,01:0c:cd:01:00:10,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 26, 2004 04:00:33.147351145 UTC","Dec 19, 2023 00:47:05.577366000 IST",0.0,8.3e-05,0.000277,7.396434,35551,167,167,False,4000,False,False,1,bit-string,IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:10,00:50:c2:4f:9d:cd",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),153,0x0000 (0),0x0000 (0),,,0
1702927025.57908,ied_protecaoPROT/LLN0$GO$prot_cb,35560,1702927025.57908,GOOSE,137,0x1012 (4114),rtds,1,,101,23,1,ied_protecaoPROT/LLN0$prot_dataset,00:50:c2:4f:9d:cd,01:0c:cd:01:00:12,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 26, 2004 04:00:29.137963354 UTC","Dec 19, 2023 00:47:05.579080000 IST",0.0,8.8e-05,0.001714,7.398148,35560,137,137,False,4000,False,False,1,boolean,IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:12,00:50:c2:4f:9d:cd",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),123,0x0000 (0),0x0000 (0),False,,0
1702927025.57908,ied_protecaoPROT/LLN0$GO$trip2_dataset,35561,1702927025.57908,GOOSE,144,0x1013 (4115),rtds,1,,1,23,1,ied_protecaoPROT/LLN0$trip2_dataset,00:50:c2:4f:9d:cd,01:0c:cd:01:00:13,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 26, 2004 04:00:29.137963354 UTC","Dec 19, 2023 00:47:05.579080000 IST",0.0,0.0,0.0,7.398148,35561,144,144,False,4000,False,False,1,boolean,IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:13,00:50:c2:4f:9d:cd",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),130,0x0000 (0),0x0000 (0),False,,0
1702927026.156349,SEL_421_distCFG/LLN0$GO$CB_prot,38335,1702927026.156349,GOOSE,141,0x1015 (4117),Prot_POTT,1,,3,239,1,SEL_421_distCFG/LLN0$dataset_pott,00:30:a7:29:1f:5a,01:0c:cd:01:00:15,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 18, 2023 22:12:17.837599992 UTC","Dec 19, 2023 00:47:06.156349000 IST",0.0,0.000107,0.577269,7.975417,38335,141,141,False,2000,False,False,1,boolean,IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:15,00:30:a7:29:1f:5a",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),127,0x0000 (0),0x0000 (0),False,,0
1702927026.336174,SEL_421_distCFG/LLN0$GO$CB_disj1,39200,1702927026.336174,GOOSE,149,0x1014 (4116),Prot_disj1,3,,3,239,1,SEL_421_distCFG/LLN0$dataset_disj,00:30:a7:29:1f:5a,01:0c:cd:01:00:14,â\234\223,0,\\Device\\NPF_{3F4560F2-C57C-4E88-88C9-72F47624FF1E},Ethernet,Ethernet,"Dec 18, 2023 22:12:18.016799986 UTC","Dec 19, 2023 00:47:06.336174000 IST",0.0,0.0,0.179825,8.155242,39200,149,149,False,2000,False,False,3,"boolean,boolean,boolean",IEC 61850/GOOSE,Individual address (unicast),"01:0c:cd:01:00:14,00:30:a7:29:1f:5a",Globally unique address (factory default),Group address (multicast/broadcast),Globally unique address (factory default),135,0x0000 (0),0x0000 (0),"False,False,False",,0
